date,close
2026-03-26,207.54
2026-03-27,199.34
2026-03-30,200.95
2026-03-31,208.27
2026-04-01,210.57
2026-04-02,209.77
2026-04-06,212.79
2026-04-07,213.77
2026-04-08,221.25
2026-04-09,233.65
2026-04-10,238.38
2026-04-13,239.89
2026-04-14,249.02
2026-04-15,248.5
2026-04-16,249.7
2026-04-17,250.56
2026-04-20,248.28
2026-04-21,249.91
2026-04-22,255.36
2026-04-23,255.08
2026-04-24,263.99
2026-04-27,261.12
2026-04-28,259.7
2026-04-29,263.04
2026-04-30,265.06
2026-05-01,268.26
2026-05-04,272.05
2026-05-05,273.55
2026-05-06,274.99
2026-05-07,271.17
2026-05-08,272.68
2026-05-11,268.99
2026-05-12,265.82
2026-05-13,270.13
2026-05-14,267.22
2026-05-15,264.14
2026-05-18,264.86
2026-05-19,259.34
2026-05-20,265.01
2026-05-21,268.46
2026-05-22,266.32
2026-05-26,265.29
2026-05-27,271.85
2026-05-28,274.0
2026-05-29,270.64
2026-06-01,261.26
2026-06-02,256.52
2026-06-03,250.02
2026-06-04,253.79
2026-06-05,246.03
2026-06-08,245.22
2026-06-09,244.19
2026-06-10,238.0
2026-06-11,241.51
2026-06-12,238.55
2026-06-15,246.02
2026-06-16,246.0
2026-06-17,237.5
2026-06-18,244.39
2026-06-22,232.79
2026-06-23,234.11
2026-06-24,234.27
2026-06-25,227.01
2026-06-26,232.69
2026-06-29,240.14
2026-06-30,238.34
2026-07-01,241.7
2026-07-02,242.67
2026-07-06,244.16
2026-07-07,245.98
2026-07-08,243.62
2026-07-09,247.04
2026-07-10,245.34
2026-07-13,247.31
2026-07-14,247.49
2026-07-15,254.96
2026-07-16,249.89
2026-07-17,247.23
2026-07-20,249.99
2026-07-21,247.55
2026-07-22,244.85
2026-07-23,233.66
2026-07-24,232.11
2026-07-27,231.39
2026-07-28,230.86
2026-07-29,226.65
2026-07-30,235.5
2026-07-31,271.58
2026-08-03,284.02
2026-08-04,277.42
2026-08-05,272.65
2026-08-06,272.26
2026-08-07,274.48
2026-08-10,278.09
2026-08-11,272.27
2026-08-12,267.28
2026-08-13,265.13
2026-08-14,262.65
2026-08-17,261.31
2026-08-18,259.45
