date,ticker,price
2024-01-01,AAPL,150.8261935625691
2024-01-02,AAPL,150.67356179109564
2024-01-03,AAPL,152.7350505291268
2024-01-04,AAPL,153.82678189429123
2024-01-05,AAPL,153.9975909185015
2024-01-06,AAPL,153.90273874572281
2024-01-07,AAPL,154.65432587087446
2024-01-08,AAPL,154.76129430822297
2024-01-09,AAPL,154.40781919018306
2024-01-10,AAPL,154.93659701280592
2024-01-11,AAPL,155.21911578066582
2024-01-12,AAPL,157.01960441121983
2024-01-13,AAPL,157.7556578450499
2024-01-14,AAPL,156.95826719540378
2024-01-15,AAPL,157.37914523302788
2024-01-16,AAPL,157.1024397717328
2024-01-17,AAPL,156.71930411377733
2024-01-18,AAPL,159.13609863258486
2024-01-19,AAPL,158.6836371851814
2024-01-20,AAPL,157.8372989074394
